id	label	hash	alternative_ids	text
367189542857482240	neutral	c020aa23ff1f8ff985ce489b2b678674	[]	Tainted Talents (Ateliertagebuch.) » Wir sind nicht allein http://t.co/9rhta65MSx
368327046574776321	neutral	0096b66e311fffcca65c23d2a310083b	[]	Aber wenigstens kommt #Supernatural heute mal wieder um 22 Uhr - ein schwacher Trost
368309870673793024	neutral	575fd73efa41e07e2b0c360a721d19d7	[]	DARLEHEN - Angebot für Schufa-freie Darlehen: Günstiger Anbieter für Online DARLEHEN in Deutschland http://t.co/G84qcIGk7k
362896018389475328	neutral	8b824c765a7642a980b9e14c02830126	[]	ANRUF ERWÜNSCHT: Hardcore Teeny Vicky Carrera: Hallo mein süßer, ich bin die 20 jährige Vicky aus Deutschland.... http://t.co/LvwyZgew4Q
367912309303148545	neutral	a07f6bc77b0cfb06a75c7cb1a88d752b	[]	"Na? Wo sind Frankens heimliche Talente? - Die ersten Bewerbungen für den Talentwettbewerb ""Wer ko, der darf!""... http://t.co/MHGsyZDOdJ"
364291928692490241	positive	40d5d6cccb61d3d230c730e60ca4dbf1	[]	... Glück breitet sich aus ...
376428554260475904	negative	a92ab250023c1468410c5d5af0a0580e	[]	@Moramee unachtsam *seufz*
372600329143345152	neutral	5778aba598d24fce321987b2814b14a8	[]	#jobs #Sales #Medien #TV #Tele M1 sucht #Persönlichkeit #Werbe #Verkauf im #Aussendienst (m/w) http://t.co/2IR8EazQoQ
395707232194940929	neutral	6fa0af96005e4916999ec3819cad47cf	[]	Happy Halloween liebe Studenten, zeigt eure gruseligen Seiten!
374506338434686976	neutral	85110bd65343f424937367f67615a15a	[]	Die App „iDelete“ hat mir 3,4 MB belegten Speicher freigemacht. Das Löschen dieser App bringt mir 16,4 MB freien Speicher. Und tschüss!
371276107690938368	negative	d7c5c70f749932790e727218fbe7bd2d	[]	@HalfEatenCrayon Moi???? @Ratzsa1 @Atheistspinner @Lenn_Len @lillai23
395083010925535232	neutral	278e724276cececc1c9ff3cb6e5984d9	[]	"Check out the new page at times about the first world war!
Schaut euch mal die neue Seite an über den ersten... http://t.co/QGRGXZ7rnR"
395077566618673152	negative	40bac1cc58fc86ed7cf2f6a83344b3e0	[]	@schenklklopfer Jop und wenn sich die Agenda nicht noch ändert muss er abends lernen :-\
392574984876326912	neutral	90b6e1acf8d16c4e72c7fdb3ac50d66f	[]	Grunderwerbsteuer wird erhöht: Der Immobilienkauf wird teurer http://t.co/Y1Sx5hWMLW
369077227020775424	neutral	5fc032cf8150c3fd767e568edefdf569	[]	#Gruppenliga: #SGAE mit Pörschmann, Choteschovsky, Dreßbach, Schneider, Körner, Siegfart, A. Geiger, S. Grochow, C. Geiger, Müller, Kraus
377173500571955200	negative	f80e69bf796933e98e6f22b82bc746e8	[]	Talente: Tumblr, Internet, allein sein, nerven. http://t.co/P9kvkOWflM
377442007406632960	neutral	d949f07d6005227f6dfed1d8d373702b	[]	W&amp;V: Apple-Event: Viele Details sickern vorher durch http://t.co/hfyVE5n75b
365814322745704451	positive	638a1a2f9e184802fdbb9c1a8e14bd52	[]	Baden. Endlich. Wundervoll. http://t.co/SzpUyPU2ur
365817573524258816	neutral	c6601b5efd82c743e6b73b4b9c343eb6	[]	@fimbultyr Hm ... was machen wir denn da ...? Über seine Mailadresse vielleicht? Oder schaltet mich einfach wieder an. :)
389649172343046144	neutral	1667b04c2a0400a7404346a49f92f1cf	[]	Neue Nutzungsbedingungen bei #Google+ kurz vorgestellt - http://t.co/iKoiWZokIg
368328631883673600	neutral	77de35d58dd4f89179dc7e595cae15b3	[]	RT @ruv_de: Der Bereich Personal in #Wiesbaden sucht: Experten (m/w) Berechtigungskonzeption/-management. http://t.co/HOjI9VfDHy #ruv #karr…
391459333210664960	neutral	1c87a96c31f61ab53ba64ec6b32de38a	[]	"RT @ndaktuell: Berichte über ""vertrauensbildende Zusicherung"" der #SPD: Lassen Große Koalition bis 2017 nicht platzen http://t.co/unNTLqM33q"
390609403680145408	neutral	24a24dc3c21b4a4d8cad74c2834eab5a	[]	schneller limit. of listerine fuck. DOWN you like. Sonne später Kräuterlimonade #TagABeautifulLanguage Essen. and listen listerine on 3?
373022301195104256	neutral	359d2ec286b95d0c66ca67e15afed8b8	[]	Affe, Braunbär, Chamäleon, Dachs, Elefant, Fledermaus, Goldfisch, Hase, Igel, JAGUAR, KAKADU, LACHMÖWE, Maulwurf, NACHTIGALL, Opossum...
370043435426021376	positive	92b9e59f72b297c6434479230910d634	[]	RT @Aterful: @Aluenschen Ach ja... :DD
370904014268792832	negative	66af2e06abc88fc557093cb553a13592	[]	@fkb71 honess bekommt ne sehr hohe gesldstrafe und das max. an bewährung.
365153451279269890	neutral	a6d39592804a7f9d2f59ca37604ec323	[]	EWR-Beitritt würde «delikate Fragen» provozieren http://t.co/Tl9coNU8sD
385041792556863488	neutral	e23c20025015c42e715b8238ae5c7b46	[]	Große Dinge werfen ihren Schatten voraus! http://t.co/eT62ejhHnN
392732464193351680	positive	206fc0b858dc101a5950b51ddff848ba	[]	"@Zwitscheriki Hmmm, vielleicht fehlt dir der Glaube?
Oder du hast einfach die falsche Kühlschrankmarke:-)"
385464200925290496	neutral	26c60e9c4aedc1fd40da9f91b1378769	[]	#ONLINE #sicher #Druck ▸ #web-to-print #Businesslösungen Beispiel: Produktgruppe #Roll-Up-Displays http://t.co/FKJsEiUfn9
385420743715983361	neutral	e04fbbca035200545721ebb5496d61dc	[]	Arbeit, Soziales, Selbständigkeit &amp; Beruf • # Immer mehr Menschen ab 60 arbeitslos... http://t.co/WuUL2hIcau
